order,Vp,numberOfTurn,0,1,2,3
"A0,A1,A2,A3",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: '13', 3: None}, 2, 35, 22]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 37, 31]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 25, 11]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 34, 22]"
"A0,A1,A3,A2",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: '12', 3: None}, 2, 35, 22]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 37, 31]","['agent_2', True, {1: '3', 2: None, 3: None}, 1, 25, 11]","['agent_3', True, {1: '10', 2: None, 3: None}, 1, 34, 22]"
"A0,A2,A1,A3",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: '13', 3: None}, 2, 35, 22]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 37, 31]","['agent_2', True, {1: '1', 2: None, 3: None}, 1, 25, 11]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 34, 22]"
"A0,A2,A3,A1",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: '12', 3: None}, 2, 35, 22]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 37, 31]","['agent_2', True, {1: '1', 2: None, 3: None}, 1, 25, 11]","['agent_3', True, {1: '10', 2: None, 3: None}, 1, 34, 22]"
"A0,A3,A1,A2",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: '12', 3: None}, 2, 35, 22]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 37, 31]","['agent_2', True, {1: '3', 2: None, 3: None}, 1, 25, 11]","['agent_3', True, {1: '10', 2: None, 3: None}, 1, 34, 22]"
"A0,A3,A2,A1",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: '12', 3: None}, 2, 35, 22]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 37, 31]","['agent_2', True, {1: '1', 2: None, 3: None}, 1, 25, 11]","['agent_3', True, {1: '10', 2: None, 3: None}, 1, 34, 22]"
"A1,A0,A2,A3",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: None, 3: None}, 1, 35, 22]","['agent_1', True, {1: '1', 2: '13', 3: None}, 2, 37, 31]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 25, 11]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 34, 22]"
"A1,A0,A3,A2",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: None, 3: None}, 1, 35, 22]","['agent_1', True, {1: '1', 2: '13', 3: None}, 2, 37, 31]","['agent_2', True, {1: '3', 2: None, 3: None}, 1, 25, 11]","['agent_3', True, {1: '10', 2: None, 3: None}, 1, 34, 22]"
"A1,A2,A0,A3",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: None, 3: None}, 1, 35, 22]","['agent_1', True, {1: '1', 2: '13', 3: None}, 2, 37, 31]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 25, 11]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 34, 22]"
"A1,A2,A3,A0",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: None, 3: None}, 1, 35, 22]","['agent_1', True, {1: '1', 2: '13', 3: None}, 2, 37, 31]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 25, 11]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 34, 22]"
