order,Vp,numberOfTurn,0,1,2,3
"A1,A3,A0,A2",0.13333333333333333,7,"['agent_0', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 37, 27]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 24, 18]","['agent_2', False, {1: '15', 2: None, 3: None, 4: '39', 5: '42', 6: '47', 7: None}, 4, 23, 13]","['agent_3', True, {1: '10', 2: '12', 3: '13', 4: '2', 5: None, 6: '3', 7: None}, 5, 36, 27]"
"A1,A3,A2,A0",0.13333333333333333,7,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 37, 27]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 24, 18]","['agent_2', False, {1: '11', 2: None, 3: None, 4: '39', 5: '42', 6: '47', 7: None}, 4, 23, 13]","['agent_3', True, {1: '10', 2: '13', 3: '15', 4: '2', 5: None, 6: '3', 7: None}, 5, 36, 27]"
"A2,A0,A1,A3",0.13333333333333333,7,"['agent_0', True, {1: '1', 2: '12', 3: None, 4: None, 5: None, 6: None, 7: None}, 2, 37, 27]","['agent_1', True, {1: '15', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 24, 18]","['agent_2', False, {1: '11', 2: None, 3: None, 4: '39', 5: '42', 6: '47', 7: None}, 4, 23, 13]","['agent_3', True, {1: '10', 2: '13', 3: '2', 4: None, 5: '3', 6: None, 7: None}, 4, 36, 27]"
"A2,A0,A3,A1",0.13333333333333333,7,"['agent_0', True, {1: '1', 2: '12', 3: None, 4: None, 5: None, 6: None, 7: None}, 2, 37, 27]","['agent_1', True, {1: '15', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 24, 18]","['agent_2', False, {1: '11', 2: None, 3: None, 4: '39', 5: '42', 6: '47', 7: None}, 4, 23, 13]","['agent_3', True, {1: '10', 2: '13', 3: '2', 4: None, 5: '3', 6: None, 7: None}, 4, 36, 27]"
"A2,A1,A0,A3",0.125,8,"['agent_0', True, {1: '10', 2: '14', 3: None, 4: None, 5: None, 6: None, 7: None, 8: None}, 2, 37, 27]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None}, 1, 24, 18]","['agent_2', False, {1: '11', 2: None, 3: None, 4: '39', 5: '42', 6: '46', 7: '47', 8: None}, 5, 23, 13]","['agent_3', True, {1: '12', 2: '13', 3: '15', 4: None, 5: '2', 6: None, 7: '3', 8: None}, 5, 36, 27]"
"A2,A1,A3,A0",0.13333333333333333,8,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None}, 1, 37, 27]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None}, 1, 24, 18]","['agent_2', False, {1: '11', 2: None, 3: None, 4: None, 5: '39', 6: '42', 7: '47', 8: None}, 4, 23, 13]","['agent_3', True, {1: '10', 2: '13', 3: '15', 4: '2', 5: None, 6: '3', 7: None, 8: None}, 5, 36, 27]"
"A2,A3,A0,A1",0.13333333333333333,8,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None}, 1, 37, 27]","['agent_1', True, {1: '15', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None}, 1, 24, 18]","['agent_2', False, {1: '11', 2: None, 3: None, 4: None, 5: '39', 6: '42', 7: '47', 8: None}, 4, 23, 13]","['agent_3', True, {1: '10', 2: '12', 3: '13', 4: '2', 5: None, 6: '3', 7: None, 8: None}, 5, 36, 27]"
"A2,A3,A1,A0",0.13333333333333333,8,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None}, 1, 37, 27]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None}, 1, 24, 18]","['agent_2', False, {1: '11', 2: None, 3: None, 4: None, 5: '39', 6: '42', 7: '47', 8: None}, 4, 23, 13]","['agent_3', True, {1: '10', 2: '13', 3: '15', 4: '2', 5: None, 6: '3', 7: None, 8: None}, 5, 36, 27]"
"A3,A0,A1,A2",0.13333333333333333,7,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 37, 27]","['agent_1', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 24, 18]","['agent_2', False, {1: '15', 2: None, 3: None, 4: '39', 5: '42', 6: '47', 7: None}, 4, 23, 13]","['agent_3', True, {1: '10', 2: '12', 3: '13', 4: '2', 5: None, 6: '3', 7: None}, 5, 36, 27]"
"A3,A0,A2,A1",0.13333333333333333,7,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 37, 27]","['agent_1', True, {1: '15', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 24, 18]","['agent_2', False, {1: '11', 2: None, 3: None, 4: '39', 5: '42', 6: '47', 7: None}, 4, 23, 13]","['agent_3', True, {1: '10', 2: '12', 3: '13', 4: '2', 5: None, 6: '3', 7: None}, 5, 36, 27]"
"A3,A1,A0,A2",0.13333333333333333,7,"['agent_0', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 37, 27]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 24, 18]","['agent_2', False, {1: '15', 2: None, 3: None, 4: '39', 5: '42', 6: '47', 7: None}, 4, 23, 13]","['agent_3', True, {1: '10', 2: '12', 3: '13', 4: '2', 5: None, 6: '3', 7: None}, 5, 36, 27]"
"A3,A1,A2,A0",0.13333333333333333,7,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 37, 27]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 24, 18]","['agent_2', False, {1: '11', 2: None, 3: None, 4: '39', 5: '42', 6: '47', 7: None}, 4, 23, 13]","['agent_3', True, {1: '10', 2: '13', 3: '15', 4: '2', 5: None, 6: '3', 7: None}, 5, 36, 27]"
"A3,A2,A0,A1",0.13333333333333333,7,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 37, 27]","['agent_1', True, {1: '15', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 24, 18]","['agent_2', False, {1: '11', 2: None, 3: None, 4: '39', 5: '42', 6: '47', 7: None}, 4, 23, 13]","['agent_3', True, {1: '10', 2: '12', 3: '13', 4: '2', 5: None, 6: '3', 7: None}, 5, 36, 27]"
"A3,A2,A1,A0",0.13333333333333333,7,"['agent_0', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 37, 27]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 24, 18]","['agent_2', False, {1: '11', 2: None, 3: None, 4: '39', 5: '42', 6: '47', 7: None}, 4, 23, 13]","['agent_3', True, {1: '10', 2: '13', 3: '15', 4: '2', 5: None, 6: '3', 7: None}, 5, 36, 27]"
