order,Vp,numberOfTurn,0,1,2,3
"A1,A3,A0,A2",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 14, 5]","['agent_1', True, {1: '1', 2: '13', 3: None}, 2, 25, 15]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 23, 16]","['agent_3', True, {1: '11', 2: '2', 3: None}, 2, 20, 15]"
"A1,A3,A2,A0",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 14, 5]","['agent_1', True, {1: '1', 2: '13', 3: None}, 2, 25, 15]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 23, 16]","['agent_3', True, {1: '11', 2: '2', 3: None}, 2, 20, 15]"
"A2,A0,A1,A3",0.16666666666666666,4,"['agent_0', False, {1: '14', 2: '46', 3: '50', 4: None}, 3, 14, 5]","['agent_1', True, {1: '13', 2: '15', 3: None, 4: None}, 2, 25, 15]","['agent_2', True, {1: '1', 2: '10', 3: None, 4: None}, 2, 23, 16]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 20, 15]"
"A2,A0,A3,A1",0.15384615384615385,3,"['agent_0', False, {1: '14', 2: '46', 3: None}, 2, 14, 5]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 25, 15]","['agent_2', True, {1: '1', 2: '10', 3: None}, 2, 23, 16]","['agent_3', True, {1: '11', 2: '2', 3: None}, 2, 20, 15]"
"A2,A1,A0,A3",0.15384615384615385,3,"['agent_0', False, {1: None, 2: '46', 3: None}, 1, 14, 5]","['agent_1', True, {1: '13', 2: '14', 3: None}, 2, 25, 15]","['agent_2', True, {1: '1', 2: '10', 3: None}, 2, 23, 16]","['agent_3', True, {1: '11', 2: '2', 3: None}, 2, 20, 15]"
"A2,A1,A3,A0",0.16666666666666666,4,"['agent_0', False, {1: None, 2: '46', 3: '50', 4: None}, 2, 14, 5]","['agent_1', True, {1: '13', 2: '14', 3: '15', 4: None}, 3, 25, 15]","['agent_2', True, {1: '1', 2: '10', 3: None, 4: None}, 2, 23, 16]","['agent_3', True, {1: '11', 2: None, 3: None, 4: None}, 1, 20, 15]"
"A2,A3,A0,A1",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 14, 5]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 25, 15]","['agent_2', True, {1: '1', 2: '10', 3: None}, 2, 23, 16]","['agent_3', True, {1: '11', 2: '2', 3: None}, 2, 20, 15]"
"A2,A3,A1,A0",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 14, 5]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 25, 15]","['agent_2', True, {1: '1', 2: '10', 3: None}, 2, 23, 16]","['agent_3', True, {1: '11', 2: '2', 3: None}, 2, 20, 15]"
"A3,A0,A1,A2",0.16666666666666666,4,"['agent_0', False, {1: '14', 2: '46', 3: '50', 4: None}, 3, 14, 5]","['agent_1', True, {1: '1', 2: '15', 3: None, 4: None}, 2, 25, 15]","['agent_2', True, {1: '10', 2: None, 3: None, 4: None}, 1, 23, 16]","['agent_3', True, {1: '11', 2: '13', 3: None, 4: None}, 2, 20, 15]"
"A3,A0,A2,A1",0.16666666666666666,4,"['agent_0', False, {1: '14', 2: '46', 3: '50', 4: None}, 3, 14, 5]","['agent_1', True, {1: '13', 2: '15', 3: None, 4: None}, 2, 25, 15]","['agent_2', True, {1: '1', 2: None, 3: None, 4: None}, 1, 23, 16]","['agent_3', True, {1: '11', 2: '2', 3: None, 4: None}, 2, 20, 15]"
"A3,A1,A0,A2",0.15384615384615385,4,"['agent_0', False, {1: None, 2: '46', 3: None, 4: None}, 1, 14, 5]","['agent_1', True, {1: '1', 2: '14', 3: None, 4: None}, 2, 25, 15]","['agent_2', True, {1: '10', 2: None, 3: None, 4: None}, 1, 23, 16]","['agent_3', True, {1: '11', 2: '13', 3: '2', 4: None}, 3, 20, 15]"
"A3,A1,A2,A0",0.15384615384615385,4,"['agent_0', False, {1: None, 2: '46', 3: None, 4: None}, 1, 14, 5]","['agent_1', True, {1: '1', 2: '14', 3: None, 4: None}, 2, 25, 15]","['agent_2', True, {1: '10', 2: None, 3: None, 4: None}, 1, 23, 16]","['agent_3', True, {1: '11', 2: '13', 3: '2', 4: None}, 3, 20, 15]"
"A3,A2,A0,A1",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 14, 5]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 25, 15]","['agent_2', True, {1: '1', 2: '10', 3: None}, 2, 23, 16]","['agent_3', True, {1: '11', 2: '2', 3: None}, 2, 20, 15]"
"A3,A2,A1,A0",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 14, 5]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 25, 15]","['agent_2', True, {1: '1', 2: '10', 3: None}, 2, 23, 16]","['agent_3', True, {1: '11', 2: '2', 3: None}, 2, 20, 15]"
