order,Vp,numberOfTurn,0,1,2,3
"A1,A3,A0,A2",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: None, 3: None}, 1, 23, 16]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 25, 19]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 24, 14]","['agent_3', True, {1: '10', 2: '12', 3: None}, 2, 32, 22]"
"A1,A3,A2,A0",0.16666666666666666,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 23, 16]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 25, 19]","['agent_2', True, {1: '11', 2: None, 3: None}, 1, 24, 14]","['agent_3', True, {1: '10', 2: '12', 3: None}, 2, 32, 22]"
"A2,A0,A1,A3",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: None, 3: None}, 1, 23, 16]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 25, 19]","['agent_2', True, {1: '1', 2: '13', 3: None}, 2, 24, 14]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 32, 22]"
"A2,A0,A3,A1",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: None, 3: None}, 1, 23, 16]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 25, 19]","['agent_2', True, {1: '1', 2: '15', 3: None}, 2, 24, 14]","['agent_3', True, {1: '10', 2: None, 3: None}, 1, 32, 22]"
"A2,A1,A0,A3",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: None, 3: None}, 1, 23, 16]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 25, 19]","['agent_2', True, {1: '1', 2: '13', 3: None}, 2, 24, 14]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 32, 22]"
"A2,A1,A3,A0",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: None, 3: None}, 1, 23, 16]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 25, 19]","['agent_2', True, {1: '1', 2: '13', 3: None}, 2, 24, 14]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 32, 22]"
"A2,A3,A0,A1",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: None, 3: None}, 1, 23, 16]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 25, 19]","['agent_2', True, {1: '1', 2: '15', 3: None}, 2, 24, 14]","['agent_3', True, {1: '10', 2: None, 3: None}, 1, 32, 22]"
"A2,A3,A1,A0",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: None, 3: None}, 1, 23, 16]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 25, 19]","['agent_2', True, {1: '1', 2: '15', 3: None}, 2, 24, 14]","['agent_3', True, {1: '10', 2: None, 3: None}, 1, 32, 22]"
"A3,A0,A1,A2",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: None, 3: None}, 1, 23, 16]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 25, 19]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 24, 14]","['agent_3', True, {1: '1', 2: '12', 3: None}, 2, 32, 22]"
"A3,A0,A2,A1",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: None, 3: None}, 1, 23, 16]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 25, 19]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 24, 14]","['agent_3', True, {1: '1', 2: '12', 3: None}, 2, 32, 22]"
"A3,A1,A0,A2",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: None, 3: None}, 1, 23, 16]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 25, 19]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 24, 14]","['agent_3', True, {1: '1', 2: '12', 3: None}, 2, 32, 22]"
"A3,A1,A2,A0",0.16666666666666666,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 23, 16]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 25, 19]","['agent_2', True, {1: '11', 2: None, 3: None}, 1, 24, 14]","['agent_3', True, {1: '1', 2: '12', 3: None}, 2, 32, 22]"
"A3,A2,A0,A1",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: None, 3: None}, 1, 23, 16]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 25, 19]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 24, 14]","['agent_3', True, {1: '1', 2: '12', 3: None}, 2, 32, 22]"
"A3,A2,A1,A0",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: None, 3: None}, 1, 23, 16]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 25, 19]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 24, 14]","['agent_3', True, {1: '1', 2: '12', 3: None}, 2, 32, 22]"
